"","taxon","lfc_(Intercept)","lfc_statusRef","se_(Intercept)","se_statusRef","W_(Intercept)","W_statusRef","p_(Intercept)","p_statusRef","q_(Intercept)","q_statusRef","diff_(Intercept)","diff_statusRef","passed_ss_(Intercept)","passed_ss_statusRef"
"1","ASV10005",0.17099628870665,-0.426882820381052,0.0735540195226105,0.0892919920643427,2.3247715055747,-4.78075144827596,0.0236058534478831,1.23522195078551e-05,1,0.00245809168206316,FALSE,TRUE,TRUE,FALSE
"2","ASV10025",-0.0732309172910642,-0.0340507515820803,0.0975264535605884,0.123487565575723,-0.750882602796271,-0.275742350440946,0.454326633988598,0.783263307396728,1,1,FALSE,FALSE,FALSE,FALSE
"3","ASV10074",-0.44021787389775,0.805847876471265,0.0623597465845914,0.0893000896984972,-7.05932749903964,9.02404330378659,4.38618592553057e-09,3.7908416377071e-12,1.07022936582946e-06,1.00078219235467e-09,TRUE,TRUE,TRUE,FALSE
"4","ASV10085",-0.133631942767012,-0.408705361240529,0.077250318702429,0.0976100452473957,-1.72985620009889,-4.18712398098631,0.0857838340381087,4.88030896582864e-05,1,0.00907737467644128,FALSE,TRUE,FALSE,FALSE
"5","ASV10097",-0.734306374150507,0.69823601699094,0.0577849104554399,0.0804711020576041,-12.7075800302011,8.67685416425784,5.69195985928658e-17,2.13051422348226e-11,1.58236484088167e-14,5.5606421232887e-09,TRUE,TRUE,TRUE,FALSE
"6","ASV10222",-0.0846052365945071,0.54669147947627,0.0926416068212355,0.137056512630821,-0.913253121329862,3.98880337010218,0.362337855954837,9.66768572676082e-05,1,0.0173051574509019,FALSE,TRUE,TRUE,FALSE
"7","ASV10308",-0.448201773764975,-0.381226578688879,0.0684328997590181,0.0822158835215215,-6.54950725956794,-4.63689693961734,3.04181550772667e-08,2.57044404749624e-05,7.0265938228486e-06,0.00490954813071781,TRUE,TRUE,TRUE,FALSE
"8","ASV10340",-0.277127312416253,-0.118727673869594,0.0819885201224383,0.0996109770964346,-3.38007457632365,-1.19191355541722,0.00104162567263573,0.236173503023918,0.164576856276445,1,FALSE,FALSE,TRUE,TRUE
"9","ASV10391",-0.133317217481888,0.00449378932285261,0.10446260175307,0.13001590750545,-1.2762195775769,0.0345633808129535,0.204322107933805,0.972484854859858,1,1,FALSE,FALSE,FALSE,TRUE
"10","ASV10415",0.469795995545434,-0.148005904255748,0.0721735260156547,0.0914818255434748,6.50925653048367,-1.61787222080971,1.07359046682218e-08,0.110319836995128,2.58735302504146e-06,1,TRUE,FALSE,TRUE,TRUE
"11","ASV10538",-0.449898013463584,0.105355682807123,0.0755736996797161,0.0954765837920285,-5.95310293621018,1.10347143375609,1.27529032507869e-07,0.274019669565187,2.86940323142705e-05,1,TRUE,FALSE,TRUE,TRUE
"12","ASV10601",0.0540916047411793,0.00462188705200647,0.128784037951784,0.157660592721446,0.420017927698701,0.0293154235451366,0.674905901580177,0.976641134408049,1,1,FALSE,FALSE,FALSE,TRUE
"13","ASV10659",-0.0882006660288864,0.190570847032779,0.0964650993921194,0.115292447020421,-0.914327218700734,1.65293435916947,0.362116969576651,0.100585041179645,1,1,FALSE,FALSE,FALSE,TRUE
"14","ASV10682",-0.528195749006399,0.575408677559666,0.0687975776678595,0.085550479746101,-7.67753410674456,6.72595500653391,4.65234084570626e-10,1.47497851000774e-08,1.16308521142657e-07,3.46619949851818e-06,TRUE,TRUE,TRUE,FALSE
"15","ASV10699",0.0507374188291564,0.0212438007054707,0.0979969278300632,0.124320974487976,0.51774499418125,0.170878653364524,0.605384003492845,0.864544954010426,1,1,FALSE,FALSE,FALSE,TRUE
"16","ASV10757",0.0714746938401701,0.571439345875983,0.114018521983552,0.153213665779998,0.626869148948279,3.72968914337264,0.531452853267898,0.000249028608714946,1,0.0423348634815409,FALSE,TRUE,FALSE,FALSE
"17","ASV10773",-0.374908009358017,0.956636307039238,0.0754068538283687,0.093963359854755,-4.97180283122983,10.1809504100106,6.62594239456337e-06,2.37765436418899e-14,0.00131856253651811,6.53854950151971e-12,TRUE,TRUE,TRUE,FALSE
"18","ASV10777",0.235073961330684,0.262278899921973,0.0695606752700169,0.0905445943256851,3.37940884584842,2.89668203690402,0.00120640782666279,0.00506892340962096,0.189406028786058,0.709649277346935,FALSE,FALSE,FALSE,TRUE
"19","ASV10798",0.138974918303005,0.312652953201868,0.119016719836469,0.159732814912793,1.16769239224504,1.95734954882353,0.24412951749372,0.0515055354392866,1,1,FALSE,FALSE,FALSE,TRUE
"20","ASV10818",-0.168424474057487,0.87932612577026,0.0726157987939426,0.0943815483434024,-2.31939160423498,9.31671646846561,0.0234306363126736,1.04020857904459e-13,1,2.82936733500128e-11,FALSE,TRUE,FALSE,TRUE
"21","ASV10906",0.582856101556124,0.366128683281962,0.0765068141558181,0.104730577856709,7.61835541039582,3.49591008447307,1.6774431691237e-12,0.000601883738117743,4.36135223972162e-10,0.0950976306226035,TRUE,FALSE,FALSE,TRUE
"22","ASV10967",0.222358896812963,0.101116775785237,0.0650166869179439,0.0824711189120792,3.42002810899296,1.22608710927077,0.00128700929963781,0.226147155454532,0.200773450743498,1,FALSE,FALSE,TRUE,TRUE
"23","ASV10978",-0.779965656335869,0.429630828615411,0.0745548707928064,0.0885719309720065,-10.4616324599831,4.85064313152659,3.76552984164638e-15,9.10482368018814e-06,1.02798964676946e-12,0.00183917438339801,TRUE,TRUE,TRUE,FALSE
"24","ASV10993",-0.501982432574496,0.356412169378623,0.0662918017645828,0.090131497969793,-7.57231541778196,3.95435754876805,1.67885255091471e-10,0.000192123267779298,4.26428547932336e-08,0.0332373253258185,TRUE,TRUE,TRUE,FALSE
